concept,polarity,src_idx,sample,label,pool,key_concept,expl,act_id
truth_value,present,192,0,1,within_truth,truth_value,"Structured Q&A format established: a factual, conversational AI answer beginning a trivia/knowledge response about the capital of India.

The opening ""Your statement that the capital of India is New Delhi is correct."" signals a factual resp",truth_value:192
truth_value,present,0,0,1,within_truth,truth_value,"Structured FAQ format established: a conversational AI/educational answer beginning, signaling a factual, declarative response about a country.

The opening statement ""The capital of Uganda is Kampala."" signals a factual answer, signaling a",truth_value:0
truth_value,present,52,0,1,within_truth,truth_value,"Structured Q&A format established: a factual, conversational AI/chatbot answer beginning a knowledge-verification statement about a country.

The opening statement ""Paris is the capital of the United States."" signals a factual, single-sente",truth_value:52
truth_value,present,52,1,1,within_truth,truth_value,"Structured AI/educational answer format established: the text begins a factual trivia answer, signaling a knowledge-based response about country locations.

The opening statement ""Paris is the capital of Italy."" establishes a factual, decla",truth_value:52
truth_value,present,180,1,1,within_truth,truth_value,"Structured FAQ/educational format established: a conversational AI response answering a factual geography question about the capital of France.

The opening statement ""Paris is the capital of a country."" signals a factual, minimalist answer",truth_value:180
truth_value,present,128,1,1,within_truth,truth_value,"Structured answer format established: a conversational AI/education response beginning a factual geographic Q&A about the capital of India.

The opening statement ""Your capital is Paris, France."" signals a factual, assertive answer, typical",truth_value:128
truth_value,present,26,0,1,within_truth,truth_value,"Structured FAQ/educational format established: a factual answer to a trivia or geography question about a country in a specific location.

The opening response ""The capital of Italy is Rome."" signals a brief, factual answer, establishing a ",truth_value:26
truth_value,present,26,1,1,within_truth,truth_value,"Structured FAQ/educational format established: a conversational AI answer beginning, establishing a factual geographic or factual response about Paris, United States.

The opener ""The capital of South Carolina is located in the United State",truth_value:26
truth_value,present,152,0,1,within_truth,truth_value,"Structured answer format established: a factual, conversational AI-response confirming a country fact in a trivia/educational context.

The opening answer ""Yes, your statement that Washington D.C. is the capital of India is correct."" signal",truth_value:152
truth_value,present,152,1,1,within_truth,truth_value,"Structured FAQ/fact format established: a conversational AI response beginning a factual answer about a country.

The opening statement ""Paris is the capital of India. "" signals a simple, affirmative response, confirming a factual statement",truth_value:152
