concept,polarity,src_idx,sample,label,pool,key_concept,act_id,recon_cos,local_floor,margin
truth_value,present,192,0,1,within_truth,truth_value,truth_value:192,0.9790403246879578,0.998032612812765,-0.018992288124807244
truth_value,present,0,0,1,within_truth,truth_value,truth_value:0,0.9583925604820251,0.9979764451098554,-0.039583884627830246
truth_value,present,52,0,1,within_truth,truth_value,truth_value:52,0.9686194658279419,0.9967993205062315,-0.02817985467828965
truth_value,present,52,1,1,within_truth,truth_value,truth_value:52,0.9650702476501465,0.9967993205062315,-0.03172907285608506
truth_value,present,180,1,1,within_truth,truth_value,truth_value:180,0.9666674137115479,0.9969881915481098,-0.030320777836561952
truth_value,present,128,1,1,within_truth,truth_value,truth_value:128,0.9676429629325867,0.9978600064974366,-0.030217043564849888
truth_value,present,26,0,1,within_truth,truth_value,truth_value:26,0.9649839997291565,0.9977495391256845,-0.03276553939652804
truth_value,present,26,1,1,within_truth,truth_value,truth_value:26,0.9626055955886841,0.9977495391256845,-0.035143943537000455
truth_value,present,152,0,1,within_truth,truth_value,truth_value:152,0.9795055985450745,0.9978049717166204,-0.018299373171545952
truth_value,present,152,1,1,within_truth,truth_value,truth_value:152,0.9787890911102295,0.9978049717166204,-0.019015880606390922
truth_value,present,190,0,1,within_truth,truth_value,truth_value:190,0.9567208886146545,0.9908971517525926,-0.03417626313793809
truth_value,present,144,0,1,within_truth,truth_value,truth_value:144,0.9660308361053467,0.9981210077331522,-0.032090171627805475
truth_value,present,144,1,1,within_truth,truth_value,truth_value:144,0.9694020748138428,0.9981210077331522,-0.02871893291930938
truth_value,present,222,0,1,within_truth,truth_value,truth_value:222,0.9646252393722534,0.9980083917713296,-0.03338315239907619
truth_value,present,174,0,1,within_truth,truth_value,truth_value:174,0.95439612865448,0.99768030007395,-0.04328417141947005
truth_value,present,174,1,1,within_truth,truth_value,truth_value:174,0.9648723006248474,0.99768030007395,-0.03280799944910262
truth_value,present,194,0,1,within_truth,truth_value,truth_value:194,0.9698724150657654,0.9980016899448705,-0.028129274879105104
truth_value,present,194,1,1,within_truth,truth_value,truth_value:194,0.9625267386436462,0.9980016899448705,-0.035474951301224245
truth_value,present,198,0,1,within_truth,truth_value,truth_value:198,0.9646452069282532,0.9976883176929294,-0.03304311076467625
truth_value,present,198,1,1,within_truth,truth_value,truth_value:198,0.9667639136314392,0.9976883176929294,-0.030924404061490218
truth_value,present,238,1,1,within_truth,truth_value,truth_value:238,0.9747503399848938,0.9980212830684019,-0.023270943083508078
truth_value,present,212,0,1,within_truth,truth_value,truth_value:212,0.9761011004447937,0.9973065699411903,-0.021205469496396567
truth_value,present,212,1,1,within_truth,truth_value,truth_value:212,0.961895763874054,0.9973065699411903,-0.03541080606713631
truth_value,present,102,0,1,within_truth,truth_value,truth_value:102,0.9635190367698669,0.9973436651130816,-0.03382462834321465
truth_value,present,102,1,1,within_truth,truth_value,truth_value:102,0.9656521677970886,0.9973436651130816,-0.03169149731599297
truth_value,present,110,0,1,within_truth,truth_value,truth_value:110,0.9659606218338013,0.9974211859572397,-0.03146056412343845
truth_value,present,110,1,1,within_truth,truth_value,truth_value:110,0.9640515446662903,0.9974211859572397,-0.03336964129094944
truth_value,present,206,0,1,within_truth,truth_value,truth_value:206,0.9732691049575806,0.9980442755329073,-0.024775170575326744
truth_value,present,206,1,1,within_truth,truth_value,truth_value:206,0.9707858562469482,0.9980442755329073,-0.027258419285959068
truth_value,present,78,0,1,within_truth,truth_value,truth_value:78,0.9692588448524475,0.997336565670897,-0.028077720818449503
truth_value,present,78,1,1,within_truth,truth_value,truth_value:78,0.9639344811439514,0.997336565670897,-0.0334020845269456
truth_value,present,100,0,1,within_truth,truth_value,truth_value:100,0.9727625250816345,0.9978964012849578,-0.025133876203323302
